topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
0.4279657008935182,0.39859466647388636,0.02168314791640987,0.021685304319666195,0.021680374746142,0.021678733773424406,0.021680325639238763,0.021676184957593655,0.02167785901931116,0.021677702260809326
0.024377901408472655,0.02437541495339854,0.02438043687955359,0.32730317063395004,0.4776751307299086,0.024379057407182755,0.024380223567717234,0.024375371623869768,0.024376104822713043,0.024377187973233717
0.020453740951337635,0.02045120833170377,0.02045098034580215,0.020449601908004888,0.8159390518590305,0.020452109718800352,0.020450432921498753,0.020450772023494525,0.020450513388682888,0.02045158855164457
0.025221141840097255,0.12042792920580558,0.02522871081742309,0.3291968766082866,0.025223109202627183,0.025222724150574242,0.025221598789511846,0.02521867894273881,0.025221431359905153,0.37381779908303026
0.024535856406519264,0.02453403281568984,0.02453832351266921,0.024534315990889316,0.024534630671298633,0.024534847015628677,0.0245400213484705,0.02453450060173612,0.6734567717704694,0.130256699866629
0.02298568342937833,0.02297764746115474,0.02300079345103712,0.022999636908483435,0.793112404391702,0.022996454565703206,0.02298876738849616,0.022980653169709486,0.022980380496970265,0.022977578737365247
0.022994164624062955,0.022989558256661123,0.02299739422530334,0.35184475517608577,0.022993102814684828,0.022987871938927398,0.022990224982079473,0.02299037891217485,0.022989058559478626,0.46422349051054157
0.02578590082744096,0.025786408193595556,0.38311569072933604,0.02577569692658435,0.02577726550602788,0.0257914788313295,0.02578481742591413,0.15081152025321484,0.02578140256641214,0.2855898187401446
0.02487798908664144,0.43737046197442564,0.024879974712816118,0.0248783062150208,0.02487593419245998,0.024874685345954644,0.024880213583099477,0.02487772092029616,0.36360624114630385,0.024878472822981883
0.0281201335858448,0.02811998992227313,0.028124387896603067,0.7468894707130768,0.02812166458241586,0.028131489240382414,0.028120695123513433,0.02812099035842349,0.028121914708806837,0.02812926386866011
0.023012798261010853,0.023013159718724786,0.7928547054270182,0.0230394745177927,0.02301357846519591,0.023013837850360506,0.023013909358425188,0.023012038258739525,0.023012886721822116,0.023013611420910036
